,total_load
2011-01-01 00:00:00,207.05827027231513
2011-01-01 01:00:00,265.37851074652986
2011-01-01 02:00:00,263.9242195331915
2011-01-01 03:00:00,266.30613426390494
2011-01-01 04:00:00,259.85421070062426
2011-01-01 05:00:00,260.73283991063954
2011-01-01 06:00:00,273.95828520973964
2011-01-01 07:00:00,282.01518526950395
2011-01-01 08:00:00,287.5553441227428
2011-01-01 09:00:00,295.82270461807235
2011-01-01 10:00:00,294.5392368626554
2011-01-01 11:00:00,289.9144808425007
2011-01-01 12:00:00,295.34830575749487
2011-01-01 13:00:00,288.66465221873193
2011-01-01 14:00:00,290.1277706113209
2011-01-01 15:00:00,293.7521615323575
2011-01-01 16:00:00,294.37367150952656
2011-01-01 17:00:00,300.491768745643
2011-01-01 18:00:00,319.51929916140995
2011-01-01 19:00:00,317.3952720645677
2011-01-01 20:00:00,315.22412327006464
2011-01-01 21:00:00,311.8678491578442
2011-01-01 22:00:00,297.85349577035925
2011-01-01 23:00:00,281.298689208685
2011-01-02 00:00:00,275.6203894481383
2011-01-02 01:00:00,262.83197857436716
2011-01-02 02:00:00,260.7471841499495
2011-01-02 03:00:00,260.9557947434286
2011-01-02 04:00:00,264.75908895451346
2011-01-02 05:00:00,296.48677562256415
2011-01-02 06:00:00,377.5517242239951
2011-01-02 07:00:00,437.2621769379796
2011-01-02 08:00:00,477.46301260468863
2011-01-02 09:00:00,554.262642622595
2011-01-02 10:00:00,570.7535240982119
2011-01-02 11:00:00,568.8807379017754
2011-01-02 12:00:00,580.2782094348422
2011-01-02 13:00:00,562.0307326281674
2011-01-02 14:00:00,562.0196013093225
2011-01-02 15:00:00,562.1773836138597
2011-01-02 16:00:00,563.7262759212289
2011-01-02 17:00:00,571.3547992435424
2011-01-02 18:00:00,588.9970362931452
2011-01-02 19:00:00,573.4670760517561
2011-01-02 20:00:00,555.1022531481287
2011-01-02 21:00:00,537.5789840917942
2011-01-02 22:00:00,485.34156170898746
2011-01-02 23:00:00,391.6970436409443
2011-01-03 00:00:00,320.4310659000265
2011-01-03 01:00:00,275.1942165755794
2011-01-03 02:00:00,265.7416487993171
2011-01-03 03:00:00,263.9256709066074
2011-01-03 04:00:00,265.45952563226956
2011-01-03 05:00:00,293.1839957803254
2011-01-03 06:00:00,370.33458885140783
2011-01-03 07:00:00,427.77706809969885
2011-01-03 08:00:00,482.18478972300784
2011-01-03 09:00:00,548.7509726042466
2011-01-03 10:00:00,551.7832436266742
2011-01-03 11:00:00,549.1428110514765
2011-01-03 12:00:00,553.4274439442172
2011-01-03 13:00:00,563.1288847250952
2011-01-03 14:00:00,556.2244287517514
2011-01-03 15:00:00,564.6149849796202
2011-01-03 16:00:00,571.7591853102602
2011-01-03 17:00:00,577.1963439828689
2011-01-03 18:00:00,594.1020753842045
2011-01-03 19:00:00,590.7128867575615
2011-01-03 20:00:00,572.731664881338
2011-01-03 21:00:00,557.9483930644943
2011-01-03 22:00:00,512.0615532480599
2011-01-03 23:00:00,421.2545704182676
2011-01-04 00:00:00,333.6140868461167
2011-01-04 01:00:00,282.58697748218793
2011-01-04 02:00:00,272.3058157549273
2011-01-04 03:00:00,267.87669198390887
2011-01-04 04:00:00,267.1121356182748
2011-01-04 05:00:00,303.6092188994017
2011-01-04 06:00:00,381.87685656645465
2011-01-04 07:00:00,441.55218811500714
2011-01-04 08:00:00,485.1542059660162
2011-01-04 09:00:00,555.17138231955
2011-01-04 10:00:00,562.1561226279141
2011-01-04 11:00:00,562.1580563596003
2011-01-04 12:00:00,563.2373110072228
2011-01-04 13:00:00,577.5652083793789
2011-01-04 14:00:00,571.9387528241945
2011-01-04 15:00:00,576.4234006841403
2011-01-04 16:00:00,580.1036146451902
2011-01-04 17:00:00,592.1182409913163
2011-01-04 18:00:00,606.0006647387931
2011-01-04 19:00:00,592.4119160947926
2011-01-04 20:00:00,581.9278924839293
2011-01-04 21:00:00,563.4240337117114
2011-01-04 22:00:00,516.3243354333343
2011-01-04 23:00:00,431.21378662860695
2011-01-05 00:00:00,339.1384622425342
2011-01-05 01:00:00,290.68979459838
2011-01-05 02:00:00,280.5941449179071
2011-01-05 03:00:00,278.093163518165
2011-01-05 04:00:00,279.11299831788796
2011-01-05 05:00:00,307.5129529206963
2011-01-05 06:00:00,389.3202359556898
2011-01-05 07:00:00,444.36552717537114
2011-01-05 08:00:00,479.2197295553853
2011-01-05 09:00:00,551.328158033816
2011-01-05 10:00:00,565.6175327413773
2011-01-05 11:00:00,563.0982534645447
2011-01-05 12:00:00,571.0363975276861
2011-01-05 13:00:00,571.0487231287367
2011-01-05 14:00:00,564.3594257731011
2011-01-05 15:00:00,574.8050271817091
2011-01-05 16:00:00,578.1007886844865
2011-01-05 17:00:00,585.1621917203516
2011-01-05 18:00:00,601.6657560554804
2011-01-05 19:00:00,601.0149914027361
2011-01-05 20:00:00,585.8600020101923
2011-01-05 21:00:00,566.533625340042
2011-01-05 22:00:00,521.9926396975078
2011-01-05 23:00:00,432.07660427583227
2011-01-06 00:00:00,341.96028209805024
2011-01-06 01:00:00,290.4090955871324
2011-01-06 02:00:00,279.59052383224866
2011-01-06 03:00:00,277.8690287455949
2011-01-06 04:00:00,277.9734316322239
2011-01-06 05:00:00,306.8899975259453
2011-01-06 06:00:00,402.35220142425464
2011-01-06 07:00:00,452.4114546168445
2011-01-06 08:00:00,492.3990624532382
2011-01-06 09:00:00,559.1590808901277
2011-01-06 10:00:00,566.7631299329718
2011-01-06 11:00:00,569.1671625082936
2011-01-06 12:00:00,576.894735837395
2011-01-06 13:00:00,571.24899013393
2011-01-06 14:00:00,573.0909614556743
2011-01-06 15:00:00,572.8554804463485
2011-01-06 16:00:00,582.6735176752542
2011-01-06 17:00:00,591.3964866769883
2011-01-06 18:00:00,608.2813005502126
2011-01-06 19:00:00,600.9054050918114
2011-01-06 20:00:00,583.0944252177608
2011-01-06 21:00:00,566.2713297555176
2011-01-06 22:00:00,520.1794406090764
2011-01-06 23:00:00,431.3418304827474
2011-01-07 00:00:00,342.86723028445755
2011-01-07 01:00:00,293.1916472268583
2011-01-07 02:00:00,282.1741077756137
2011-01-07 03:00:00,280.9681501438644
2011-01-07 04:00:00,275.5360681339763
2011-01-07 05:00:00,309.7181930243595
2011-01-07 06:00:00,396.6973554552967
2011-01-07 07:00:00,452.76174199009904
2011-01-07 08:00:00,483.82100294586166
2011-01-07 09:00:00,549.0171618992249
2011-01-07 10:00:00,554.1867828533053
2011-01-07 11:00:00,556.1077015616083
2011-01-07 12:00:00,561.7868684317489
2011-01-07 13:00:00,566.5422411020407
2011-01-07 14:00:00,560.7565188228136
2011-01-07 15:00:00,571.2697223298908
2011-01-07 16:00:00,581.0434039854874
2011-01-07 17:00:00,589.0253927006908
2011-01-07 18:00:00,604.6778624367821
2011-01-07 19:00:00,595.3463113324593
2011-01-07 20:00:00,579.9810501254419
2011-01-07 21:00:00,564.1379703670054
2011-01-07 22:00:00,520.7079341697292
