,actual_load,ensemble_mean,ensemble_variance,pi_width,residual,resid_volatility,lstm_abs_error,arima_abs_error,is_extreme_demand
2010-01-08 00:00:00,101.3,128.25914,291.3407,42.076905381203545,-26.95914001464844,0.0,26.95914001464844,15.63213577540212,0
2010-01-08 01:00:00,92.1,122.36422,220.21133,42.076905381203545,-30.26421966552735,0.0,30.26421966552735,0.48705894721386755,0
2010-01-08 02:00:00,87.2,115.02455,210.92258,42.076905381203545,-27.82455139160156,1.6525398254394543,27.82455139160156,9.953421047580562,0
2010-01-08 03:00:00,85.5,104.79486,181.58472,42.07690538120353,-19.29486083984375,1.3993835800417342,19.29486083984375,4.0601605191719585,0
2010-01-08 04:00:00,85.3,97.105446,92.77769,42.076905381203545,-11.805445861816407,4.103718579391652,11.805445861816407,6.552874897100409,0
2010-01-08 05:00:00,88.2,98.68561,59.604652,42.07690538120356,-10.485607910156247,6.789733291855114,10.485607910156247,3.938254419111857,0
2010-01-08 06:00:00,98.1,108.15975,123.74556,42.076905381203545,-10.05975189208985,7.808589586298871,10.05975189208985,23.692369566349043,0
2010-01-08 07:00:00,116.5,119.73946,106.08116,42.07690538120353,-3.239463806152344,8.197785345563357,3.239463806152344,13.703708172900718,0
2010-01-08 08:00:00,124.1,131.55698,49.962166,42.076905381203574,-7.456976318359381,9.37128451436076,7.456976318359381,25.932448656433706,0
2010-01-08 09:00:00,122.6,128.30879,45.13012,42.07690538120353,-5.708792114257818,9.381268644729412,5.708792114257818,1.1695452105893906,0
2010-01-08 10:00:00,121.9,121.50419,48.300247,42.07690538120356,0.3958114624023494,9.457785380020445,0.3958114624023494,12.390636322134483,0
2010-01-08 11:00:00,121.8,121.20441,75.89868,42.07690538120356,0.5955932617187472,10.084828316843597,0.5955932617187472,29.294518308670177,0
2010-01-08 12:00:00,120.7,122.46183,56.425903,42.076905381203574,-1.7618301391601534,10.451785230456792,1.7618301391601534,13.811960167552584,0
2010-01-08 13:00:00,119.1,120.8314,21.664675,42.07690538120353,-1.731398010253912,10.454392358540437,1.731398010253912,4.947201144466206,0
2010-01-08 14:00:00,179.9,116.91222,17.936031,42.07690538120356,62.98778381347657,10.404799198225115,62.98778381347657,69.66701871848768,0
2010-01-08 15:00:00,183.9,133.34464,223.18796,42.076905381203545,50.55536499023438,21.04073250727144,50.55536499023438,17.092549237868553,0
2010-01-08 16:00:00,193.0,146.93266,272.19647,42.076905381203574,46.06733703613281,24.568512141271587,46.06733703613281,0.7493989401185956,0
2010-01-08 17:00:00,213.9,174.45158,204.0267,42.076905381203574,39.44841613769532,26.44594302712062,39.44841613769532,17.956799354715912,0
2010-01-08 18:00:00,244.3,175.51408,556.0765,42.076905381203545,68.78591613769532,27.225186768990124,68.78591613769532,11.64701117748345,1
2010-01-08 19:00:00,131.3,216.71101,320.72162,42.076905381203574,-85.4110137939453,30.36196329010422,85.4110137939453,96.9626534167904,0
2010-01-08 20:00:00,258.2,210.44804,1199.5916,42.076905381203574,47.7519561767578,35.66318850107302,47.7519561767578,89.00647327356143,1
2010-01-08 21:00:00,257.3,170.8812,837.50244,42.076905381203545,86.41880493164064,36.17984744972358,86.41880493164064,54.25073509383776,1
2010-01-08 22:00:00,253.3,189.10713,1299.0305,42.076905381203545,64.1928680419922,39.337372683968745,64.1928680419922,22.160413827427192,1
2010-01-08 23:00:00,114.6,220.3765,532.1106,42.0769053812036,-105.77649536132812,40.18300832061864,105.77649536132812,107.02028615385092,0
2010-01-09 00:00:00,104.4,223.88704,1117.1176,42.07690538120356,-119.4870391845703,45.61473383450991,119.4870391845703,36.502828247062126,0
2010-01-09 01:00:00,233.3,164.58122,1044.0662,42.076905381203545,68.71877746582032,51.660484409129175,68.71877746582032,146.19437587786786,0
2010-01-09 02:00:00,90.5,121.200645,1192.9163,42.0769053812036,-30.700645446777344,52.92590102692641,30.700645446777344,112.57268469700227,0
2010-01-09 03:00:00,233.0,146.64339,1403.0408,42.07690538120356,86.35661315917969,53.00384122110043,86.35661315917969,110.21352119576468,0
2010-01-09 04:00:00,88.4,157.53145,452.23242,42.076905381203545,-69.1314483642578,55.13730240565467,69.1314483642578,106.98173598135247,0
2010-01-09 05:00:00,89.9,202.91824,1668.0865,42.07690538120356,-113.01824340820312,57.21235822356313,113.01824340820312,48.733255612336905,0
2010-01-09 06:00:00,94.7,195.30188,1220.148,42.07690538120353,-100.6018798828125,61.99700787646746,100.6018798828125,11.771595929361283,0
2010-01-09 07:00:00,255.2,198.09843,2382.227,42.076905381203545,57.1015655517578,65.33379230555154,57.1015655517578,146.63007452076522,1
2010-01-09 08:00:00,264.7,210.97232,2101.729,42.076905381203574,53.72767944335936,66.34878129688164,53.72767944335936,30.182558238746793,1
2010-01-09 09:00:00,123.4,220.06401,1088.3135,42.076905381203574,-96.66401062011718,67.12245308912368,96.66401062011718,141.58465672590555,0
2010-01-09 10:00:00,126.2,177.14014,833.9108,42.076905381203574,-50.94013671875,70.07527724924263,50.94013671875,22.3596249969071,0
2010-01-09 11:00:00,258.6,174.10184,684.62036,42.076905381203545,84.4981628417969,70.82129356320591,84.4981628417969,151.96804570679444,1
2010-01-09 12:00:00,124.5,188.20073,1837.1494,42.076905381203574,-63.70072937011719,72.89240483946813,63.70072937011719,108.76018347231383,0
2010-01-09 13:00:00,125.5,200.39778,814.7871,42.076905381203574,-74.89778137207031,74.05732992741319,74.89778137207031,38.62650441972227,0
2010-01-09 14:00:00,129.0,158.69884,650.2142,42.07690538120356,-29.69883728027344,75.52208047450294,29.69883728027344,0.43408572689270386,0
2010-01-09 15:00:00,133.2,150.83333,310.2473,42.076905381203574,-17.633328247070324,74.36362588802837,17.633328247070324,1.7966414323138338,0
2010-01-09 16:00:00,190.6,137.63272,158.501,42.076905381203545,52.96727905273437,73.3771363908881,52.96727905273437,48.89211626414459,0
2010-01-09 17:00:00,201.2,139.74567,438.3693,42.076905381203574,61.45433349609374,73.61177410861534,61.45433349609374,14.636076964592945,0
2010-01-09 18:00:00,228.3,160.39708,644.95374,42.076905381203574,67.90292053222657,74.35924789322748,67.90292053222657,8.482732401556916,0
2010-01-09 19:00:00,244.4,197.7916,296.66196,42.0769053812036,46.60840454101563,74.32076062566003,46.60840454101563,45.211159226379095,1
2010-01-09 20:00:00,248.2,213.69609,508.1551,42.076905381203574,34.5039093017578,73.37391199246795,34.5039093017578,18.055303483967293,1
2010-01-09 21:00:00,134.8,237.40083,278.0203,42.07690538120352,-102.6008331298828,73.03198946675249,102.6008331298828,101.51002558343328,0
2010-01-09 22:00:00,248.1,190.83513,864.9266,42.076905381203574,57.26487121582031,72.99547295858936,57.26487121582031,71.72394389217808,1
