timestamp,total_load,is_extreme_90,threshold_90,threshold_95
2010-01-01 00:00:00,130.2,0,237.6,258.8
2010-01-01 01:00:00,134.0,0,237.6,258.8
2010-01-01 02:00:00,107.6,0,237.6,258.8
2010-01-01 03:00:00,102.9,0,237.6,258.8
2010-01-01 04:00:00,100.0,0,237.6,258.8
2010-01-01 05:00:00,99.5,0,237.6,258.8
2010-01-01 06:00:00,103.9,0,237.6,258.8
2010-01-01 07:00:00,115.1,0,237.6,258.8
2010-01-01 08:00:00,141.8,0,237.6,258.8
2010-01-01 09:00:00,153.5,0,237.6,258.8
2010-01-01 10:00:00,164.3,0,237.6,258.8
2010-01-01 11:00:00,127.9,0,237.6,258.8
2010-01-01 12:00:00,126.6,0,237.6,258.8
2010-01-01 13:00:00,126.6,0,237.6,258.8
2010-01-01 14:00:00,126.5,0,237.6,258.8
2010-01-01 15:00:00,128.2,0,237.6,258.8
2010-01-01 16:00:00,130.1,0,237.6,258.8
2010-01-01 17:00:00,132.9,0,237.6,258.8
2010-01-01 18:00:00,184.4,0,237.6,258.8
2010-01-01 19:00:00,133.9,0,237.6,258.8
2010-01-01 20:00:00,135.8,0,237.6,258.8
2010-01-01 21:00:00,186.6,0,237.6,258.8
2010-01-01 22:00:00,183.5,0,237.6,258.8
2010-01-01 23:00:00,179.1,0,237.6,258.8
2010-01-02 00:00:00,104.0,0,237.6,258.8
2010-01-02 01:00:00,93.1,0,237.6,258.8
2010-01-02 02:00:00,179.4,0,237.6,258.8
2010-01-02 03:00:00,184.4,0,237.6,258.8
2010-01-02 04:00:00,190.9,0,237.6,258.8
2010-01-02 05:00:00,198.8,0,237.6,258.8
2010-01-02 06:00:00,209.9,0,237.6,258.8
2010-01-02 07:00:00,89.8,0,237.6,258.8
2010-01-02 08:00:00,234.2,0,237.6,258.8
2010-01-02 09:00:00,109.9,0,237.6,258.8
2010-01-02 10:00:00,117.3,0,237.6,258.8
2010-01-02 11:00:00,120.0,0,237.6,258.8
2010-01-02 12:00:00,229.0,0,237.6,258.8
2010-01-02 13:00:00,221.8,0,237.6,258.8
2010-01-02 14:00:00,123.5,0,237.6,258.8
2010-01-02 15:00:00,126.1,0,237.6,258.8
2010-01-02 16:00:00,128.9,0,237.6,258.8
2010-01-02 17:00:00,130.5,0,237.6,258.8
2010-01-02 18:00:00,264.9,1,237.6,258.8
2010-01-02 19:00:00,125.9,0,237.6,258.8
2010-01-02 20:00:00,275.8,1,237.6,258.8
2010-01-02 21:00:00,127.7,0,237.6,258.8
2010-01-02 22:00:00,273.0,1,237.6,258.8
2010-01-02 23:00:00,112.6,0,237.6,258.8
2010-01-03 00:00:00,259.5,1,237.6,258.8
2010-01-03 01:00:00,94.0,0,237.6,258.8
2010-01-03 02:00:00,253.6,1,237.6,258.8
2010-01-03 03:00:00,84.8,0,237.6,258.8
2010-01-03 04:00:00,256.8,1,237.6,258.8
2010-01-03 05:00:00,83.5,0,237.6,258.8
2010-01-03 06:00:00,85.2,0,237.6,258.8
2010-01-03 07:00:00,282.5,1,237.6,258.8
2010-01-03 08:00:00,293.2,1,237.6,258.8
2010-01-03 09:00:00,299.2,1,237.6,258.8
2010-01-03 10:00:00,293.5,1,237.6,258.8
